target,lot,experiment_key,wafer_num,n_points,rmse,mae,r2,mape_pct
oxide_etch,8,2024-08-07_07,7,89,0.039774206806464915,0.023197941565781498,0.5160331359354977,3.1344375225617656
oxide_etch,8,2024-08-07_08,8,89,0.053281770340231425,0.04046019945251808,0.14103376173769167,5.774338183503608
oxide_etch,8,2024-08-07_09,9,89,0.053783706922972456,0.04041788216387288,0.12495964186081998,5.837102514314627
oxide_etch,8,2024-08-07_10,10,89,0.05761408003118028,0.041824107759454277,-0.025657083194897012,5.850160881343918
oxide_etch,9,2024-08-21_01,1,89,0.045515818389358184,0.02610599191001292,0.3775012990193872,4.042777671343582
oxide_etch,9,2024-08-21_02,2,89,0.05831191390663276,0.03516836380690671,-0.024626039309515235,5.503558916400064
oxide_etch,9,2024-08-21_03,3,89,0.04665667205878206,0.027628647477439282,0.32049069898185456,4.299226565054171
oxide_etch,9,2024-08-21_04,4,89,0.05516567104585931,0.04454954085725077,0.033114091976759186,6.4501844398870025
oxide_etch,9,2024-08-21_05,5,89,0.04607555128721809,0.03490996092892765,0.3120182882380921,5.143177100703123
oxide_etch,9,2024-08-21_06,6,89,0.02974860692428429,0.019969810930530678,0.7296895696123731,2.8281316559558274
oxide_etch,9,2024-08-21_07,7,89,0.025056978515828863,0.015385740928435594,0.8075888864746822,2.1866467780681873
oxide_etch,9,2024-08-21_08,8,89,0.051424840507822395,0.038216813226764124,0.18564256340684804,5.537928502251406
oxide_etch,9,2024-08-21_10,10,89,0.056992552851815766,0.04077621591225099,-0.023264247923605152,5.712033724063465
oxide_etch,10,2024-08-22_01,1,89,0.06312918841041666,0.051765338088689224,-0.165053757467031,7.408814545529717
oxide_etch,10,2024-08-22_02,2,89,0.04491913106018556,0.029366292980279814,0.39020760991527015,4.411661561495246
oxide_etch,10,2024-08-22_03,3,89,0.04469431057103816,0.02482530976949113,0.3627531086671426,3.887639237041646
oxide_etch,10,2024-08-22_04,4,89,0.1130438966309308,0.0856778072507194,-0.5538613385689943,15.798935841204731
si_etch,1,2024-07-02_01,1,89,0.3037031022880002,0.21375227510259392,0.9931429246891392,0.46429908728234254
si_etch,1,2024-07-02_02,2,89,0.36092176705356493,0.27769765961036263,0.990035692695426,0.619647616919954
si_etch,1,2024-07-02_03,3,89,0.27328815228150527,0.22965090462331036,0.9941838163715738,0.5152005687775848
si_etch,1,2024-07-02_04,4,89,0.540564829751011,0.48274891028243455,0.976579645130432,1.0981228422697318
si_etch,1,2024-07-02_05,5,89,0.3435211476428302,0.2790310891826504,0.990307572282702,0.6398770891393127
si_etch,1,2024-07-02_06,6,89,0.2428043235266299,0.17543831300199605,0.9951466032976425,0.39741048430526865
si_etch,1,2024-07-02_08,8,89,0.2897110816394306,0.26401734084225886,0.9929814071955029,0.6235030640387165
si_etch,1,2024-07-02_09,9,89,0.5271716751267855,0.5003179057260582,0.9769174983650849,1.1559152556271777
si_etch,1,2024-07-02_10,10,89,0.370532286406229,0.3105490180883512,0.9885201218858882,0.7188813522248022
si_etch,2,2024-07-05_01,1,89,0.19458920476747024,0.16432489973775463,0.9973384880979064,0.37322114041197396
si_etch,2,2024-07-05_02,2,89,0.16655641246878988,0.13329923822638662,0.9979038430180017,0.2946905591141979
si_etch,2,2024-07-05_03,3,89,0.4861635819472809,0.4049175991101213,0.9810043454164704,0.8927407145454783
si_etch,2,2024-07-05_04,4,89,0.22073140785758283,0.19583194175463067,0.9958998916810924,0.4480022376029874
si_etch,2,2024-07-05_05,5,89,0.3372466290431458,0.3215581915351769,0.9904283069946276,0.7348418329183287
si_etch,2,2024-07-05_06,6,89,0.42011660864765277,0.38610166914007626,0.9850254005617113,0.8720036341165376
si_etch,2,2024-07-05_07,7,89,0.38597261061222143,0.3413389827428232,0.9873416947253133,0.7758820673202063
si_etch,2,2024-07-05_08,8,89,0.5074619595138776,0.47734952776619544,0.9778206114110992,1.111410425082649
si_etch,2,2024-07-05_09,9,89,0.5760228637583129,0.5576239596591901,0.9717650396474691,1.287426396622373
si_etch,2,2024-07-05_10,10,89,0.23112984318830324,0.20622223414731788,0.995397867775117,0.47289222243931184
si_etch,3,2024-07-09_01,1,89,0.22159584177580027,0.15542495384644928,0.9963400268072531,0.34288994856791605
si_etch,3,2024-07-09_02,2,89,1.260080903099315,0.48892164766118695,0.8774671940698393,1.123808467441035
