day,wafer_num,process_group,n_cycles,duration_s,iv_median,iv_std,iv_min,iv_max,anomalous
2024_07_09,9,Day_2024_07_09_Wafer_09,101,691.2400000095367,6.0,0.5967746633907373,4.609999895095825,11.799999952316284,True
2024_07_09,10,Day_2024_07_09_Wafer_10,102,669.6099998950958,6.0,1.1968325102592066,4.6000001430511475,15.0,True
2024_07_11,1,Day_2024_07_11_Wafer_01,101,690.7400000095367,6.0,0.5785326212898325,4.599999904632568,11.599999904632568,True
2024_07_11,2,Day_2024_07_11_Wafer_02,101,690.670000076294,6.0,0.5978478076739889,4.609999895095825,11.789999961853027,True
2024_07_11,3,Day_2024_07_11_Wafer_03,100,680.1299998760223,6.0,0.06639062885968486,5.799999952316284,6.200000047683716,False
2024_07_11,4,Day_2024_07_11_Wafer_04,101,690.75,6.0,0.5990792870148995,4.6000001430511475,11.799999952316284,True
2024_07_11,5,Day_2024_07_11_Wafer_05,100,680.1800000667572,6.0,0.06639062182468625,5.799999952316284,6.200000047683716,False
2024_07_11,6,Day_2024_07_11_Wafer_06,101,690.420000076294,6.0,0.5977424164166943,4.599999904632568,11.799999952316284,True
2024_07_11,7,Day_2024_07_11_Wafer_07,101,701.0,6.0,1.052940652203695,5.799999952316284,15.0,True
2024_07_11,8,Day_2024_07_11_Wafer_08,101,700.7699999809265,6.0,1.0506588479493826,5.799999952316284,15.0,True
2024_07_11,9,Day_2024_07_11_Wafer_09,102,711.4700000286102,6.0,1.2057064996503342,4.609999895095825,15.0,True
2024_07_11,10,Day_2024_07_11_Wafer_10,100,638.5999999046326,6.0,0.0799959377522035,5.799999952316284,6.200000047683716,False
2024_07_19,1,Day_2024_07_19_Wafer_01,100,680.1099998950958,6.0,0.07477478143776198,5.799999952316284,6.200000047683716,False
2024_07_19,2,Day_2024_07_19_Wafer_02,102,711.5300002098083,6.0,1.2185025820058215,4.400000095367432,15.0,True
2024_07_19,3,Day_2024_07_19_Wafer_03,101,690.4299998283386,6.0,0.5970728794802178,4.599999904632568,11.800000190734863,True
2024_07_19,4,Day_2024_07_19_Wafer_04,101,700.789999961853,6.0,1.0630446828976983,5.799999952316284,15.0,True
2024_07_19,5,Day_2024_07_19_Wafer_05,101,690.4100000858307,6.0,0.6004131811718073,4.6000001430511475,11.799999952316284,True
2024_07_19,6,Day_2024_07_19_Wafer_06,101,690.7200000286102,6.0,0.5990792838311007,4.6000001430511475,11.799999952316284,True
2024_07_19,7,Day_2024_07_19_Wafer_07,101,690.4500000476837,6.0,0.5550639476054966,4.799999952316284,11.399999856948853,True
2024_07_19,8,Day_2024_07_19_Wafer_08,101,690.710000038147,6.0,0.5992616988960284,4.599999904632568,11.809999942779541,True
2024_07_19,9,Day_2024_07_19_Wafer_09,100,679.9599997997284,6.0,0.06304844547364341,5.799999952316284,6.200000047683716,False
2024_07_19,10,Day_2024_07_19_Wafer_10,101,648.8000001907349,6.0,0.5792236339444495,4.599999904632568,11.600000143051147,True
2024_08_01,1,Day_2024_08_01_Wafer_01,101,701.0199999809265,6.0,1.0604074664754919,5.799999952316284,15.0,True
2024_08_01,2,Day_2024_08_01_Wafer_02,101,690.6800000667572,6.0,0.600413183554352,4.6000001430511475,11.799999952316284,True
2024_08_01,3,Day_2024_08_01_Wafer_03,101,690.420000076294,6.0,0.5984112293216134,4.599999904632568,11.799999952316284,True
2024_08_01,4,Day_2024_08_01_Wafer_04,101,690.4900000095367,6.0,0.597742437747999,4.599999904632568,11.800000190734863,True
2024_08_01,5,Day_2024_08_01_Wafer_05,101,689.9099998474121,6.0,0.598411251633094,4.599999904632568,11.800000190734863,True
2024_08_01,6,Day_2024_08_01_Wafer_06,101,700.5299999713898,6.0,1.060030185789683,6.0,15.0,True
2024_08_01,7,Day_2024_08_01_Wafer_07,101,700.9900000095367,6.0,1.061161625733667,5.799999952316284,15.0,True
2024_08_01,8,Day_2024_08_01_Wafer_08,101,690.1600000858307,6.0,0.597742410625173,4.6000001430511475,11.799999952316284,True
2024_08_01,9,Day_2024_08_01_Wafer_09,101,689.9700000286102,6.0,0.5997466053296193,4.6000001430511475,11.799999952316284,True
