day,wafer_num,n_raw,n_trimmed,trim_start_edge_idx,cycle1_start_s,cycle100_start_s,total_duration_s,iv_min,iv_max,iv_std,ok
2024_08_07,2,101,100,1,30.0,633.7999999523163,603.7999999523163,5.799999952316284,14.799999952316284,0.8818592521101434,True
2024_08_07,3,101,100,1,30.0,633.7999999523163,603.7999999523163,5.799999952316284,15.0,0.9022446688139915,True
2024_08_07,4,101,100,1,30.0,623.3999998569489,593.3999998569489,4.609999895095825,6.210000038146973,0.16115003772767103,True
2024_08_07,5,101,100,1,30.0,623.3999998569489,593.3999998569489,4.599999904632568,6.200000047683716,0.15687489880727157,True
2024_08_07,6,101,100,1,30.0,623.2000000476837,593.2000000476837,4.4100000858306885,6.210000038146973,0.17638728578547624,True
2024_08_07,7,101,100,1,30.0,623.4000000953674,593.4000000953674,4.6000001430511475,6.200000047683716,0.15687488354878634,True
2024_08_07,8,100,100,0,146.39999985694885,741.1999998092651,594.7999999523163,5.799999952316284,6.200000047683716,0.09393398060702161,True
2024_08_07,9,101,100,1,30.0,623.3999998569489,593.3999998569489,4.599999904632568,6.200000047683716,0.16194412057624502,True
2024_08_07,10,101,100,1,30.0,623.4000000953674,593.4000000953674,4.6000001430511475,6.200000047683716,0.1594296405372887,True
2024_08_21,1,101,100,1,30.0,623.2000000476837,593.2000000476837,4.400000095367432,6.200000047683716,0.17960491677186596,True
2024_08_21,2,101,100,1,30.0,623.3999998569489,593.3999998569489,4.599999904632568,6.200000047683716,0.1568748988072715,True
2024_08_21,3,101,100,1,30.0,623.3999998569489,593.3999998569489,4.799999952316284,6.200000047683716,0.15163631640306904,True
2024_08_21,4,101,100,1,30.0,623.4000000953674,593.4000000953674,4.6000001430511475,6.200000047683716,0.14894792884841954,True
2024_08_21,5,101,100,1,30.0,623.4000000953674,593.4000000953674,4.6000001430511475,6.200000047683716,0.16926351344007493,True
2024_08_21,6,101,100,1,30.0,633.7999999523163,603.7999999523163,5.799999952316284,15.0,0.9031365035802968,True
2024_08_21,7,101,100,1,30.0,623.4000000953674,593.4000000953674,4.599999904632568,6.3999998569488525,0.16685940370626873,True
2024_08_21,8,101,100,1,30.009999990463257,623.4099998474121,593.3999998569489,4.599999904632568,6.400000095367432,0.16240503326051475,True
2024_08_21,9,100,100,0,18.199999809265137,613.0,594.8000001907349,5.799999952316284,6.3999998569488525,0.08489657449118024,True
2024_08_21,10,101,100,1,30.0,623.4000000953674,593.4000000953674,4.610000133514404,6.210000038146973,0.16100578681472572,True
2024_08_22,1,100,100,0,18.200000047683716,613.2000000476837,595.0,5.799999952316284,6.200000047683716,0.07719181080624246,True
2024_08_22,2,101,100,1,30.009999990463257,634.0099999904633,604.0,5.789999961853027,15.0,0.902312960391322,True
2024_08_22,3,101,100,1,30.0,623.3999998569489,593.3999998569489,4.599999904632568,6.200000047683716,0.146210167072624,True
2024_08_22,4,101,100,1,30.0,623.3999998569489,593.3999998569489,4.599999904632568,6.200000047683716,0.15163632593218632,True
2024_08_22,5,101,100,1,30.0,633.8000001907349,603.8000001907349,5.799999952316284,15.0,0.9022413125390473,True
2024_08_22,6,101,100,1,30.0,633.8000001907349,603.8000001907349,5.799999952316284,15.0,0.9026890191638383,True
2024_08_22,7,101,100,1,30.200000047683716,634.0,603.7999999523163,5.799999952316284,15.0,0.9004314286892584,True
2024_08_22,8,100,100,0,18.200000047683716,613.0,594.7999999523163,5.799999952316284,6.200000047683716,0.06304840758519814,True
2024_08_22,9,101,100,1,30.0,623.3999998569489,593.3999998569489,4.599999904632568,6.200000047683716,0.16926351050826796,True
2024_08_22,10,101,100,1,30.0,623.4000000953674,593.4000000953674,4.6000001430511475,6.200000047683716,0.1668593892733478,True
